A 马列主义、毛泽东思想、邓小平理论
					O623.84 亚磺酸、磺酸及其衍生物
			O624 碳环化合物、脂环族化合物
				O624.1 脂环族烃及其衍生物
					O624.11 饱和脂环烃
					O624.12 不饱和脂环烃
					O624.13 萜烯
				O624.2 卤代脂环烃及其衍生物
				O624.3 脂环族醇及其衍生物
					O624.31 饱和脂环族醇
					O624.32 不饱和脂环族醇
					O624.33 萜烯类醇
				O624.4 脂环族醛、酮及其衍生物
					O624.41 脂环族醛
					O624.42 脂环族酮
				O624.5 脂环族羧酸及其衍生物
				O624.6 脂环族含氮化合物
				O624.7 脂环族含硫化合物
			O625 芳香族化合物
				O625.1 芳香烃及其衍生物
					O625.11 单环烃（苯系烃）
					O625.12 不饱和侧链烃
					O625.13 联苯烃
					O625.14 多苯基甲烷及同系物
					O625.15 稠环芳烃
				O625.2 芳香烃卤素衍生物
					O625.21 苯及其同系物的卤素衍生物
					O625.22 苯的侧链卤素衍生物
					O625.23 萘及其同系物的卤素衍生物
					O625.24 蒽及其同系物卤素衍生物
					O625.29 其他芳香烃卤素衍生物
				O625.3 酚、芳香醇及其衍生物
					O625.31 酚及其衍生物
					O625.32 酚的功能衍生物
					O625.33 卤代酚
					O625.34 芳香醇及其衍生物
				O625.4 芳醛、芳酮及其衍生物，醌及其衍生物
					O625.41 芳醛及其衍生物
					O625.42 芳酮及其衍生物
					O625.43 芳醛和芳酮的功能衍生物
					O625.44 芳香卤醛、卤酮及其衍生物
					O625.45 羟基芳醛和羟基芳酮及其衍生物
					O625.46 醌及其衍生物
				O625.5 芳香族羧酸及其衍生物
					O625.51 芳酸
					O625.52 芳酸的功能衍生物
					O625.53 卤代芳酸及其衍生物
					O625.54 羟基芳酸及其衍生物
					O625.56 羰基芳酸（醛酸和酮酸）及其衍生物
				O625.6 芳香族含氮化合物
					O625.61 芳香族硝基化合物
					O625.62 芳香族亚硝基化合物
					O625.63 芳胺及其衍生物
					O625.64 芳香族重氮化合物
					O625.65 芳香族氧化偶氮、偶氮和氢化偶氮化合物
					O625.66 联氨和羟氨的芳基衍生物
					O625.67 芳香族腈和异腈及其衍生物
				O625.7 芳香族含硫化合物
					O625.71 芳香族硫酚、萘硫酚及其衍生物
					O625.72 芳香族硫醇、硫醚（硫化物）及其衍生物
					O625.73 芳香族亚砜、砜和硫化合物
					O625.74 芳香族亚磺酸及其衍生物
					O625.75 芳香族磺酸及其衍生物
				O625.8 非苯环芳香族化合物
			O626 杂环化合物
				O626.1 含单异原子的五节杂环
					O626.11 氧杂茂（呋喃）族
					O626.12 硫杂茂（噻吩）族
					O626.13 氮杂茂（吡咯）族
				O626.2 含双或多异原子的五节杂环
					O626.21 邻二氮杂茂（吡唑）族
					O626.22 苯骈二氮茂
					O626.23 间二氮茂（咪唑）及其衍生物
					O626.24 间氧氮茂（恶唑）
					O626.25 间硫氮茂（噻唑）
					O626.26 三氮杂茂（三唑）
					O626.27 氧二氮杂茂与硫二氮杂茂
					O626.28 四氮杂茂（四唑）
					O626.29 其他
				O626.3 含单异原子的六节杂环
					O626.31 氧芑酮（哌喃酮）族
					O626.32 氮杂苯（吡啶）族
				O626.4 含双或多异原子的六节杂环
					O626.41 间（二）氮苯（嘧啶）族
						O626.411 丙二酰缩脲及其衍生物
						O626.412 间二氮苯烷四酮
						O626.413 喋环、核酸
						O626.414 尿环及其衍生物
						O626.415 对二氮苯烷
						O626.416 二氮萘(二价苯基磷二氮杂茂)
						O626.417 二氮杂蒽(二二价苯基磷二氮杂茂)
						O626.418 萘(夹)二氮杂蒽、二萘氮杂苯、二氮化蒽
					O626.42 氯化砷氮二氢蒽、氧氮芑、氧氮蒽、硫氮杂苯烷、苯硫氮杂苯烷
					O626.43 三氮杂苯
					O626.44 四氮杂苯
				O626.5 七节杂环
			O627 元素有机化合物
				O627.1 周期系统第Ⅰ族元素有机化合物
					O627.11 碱金属有机化合物
					O627.12 铜族金属有机化合物
				O627.2 第Ⅱ族元素有机化合物
					O627.21 镁有机化合物
					O627.22 碱土金属有机化合物
					O627.23 锌族金属有机化合物
				O627.3 第Ⅲ族元素有机化合物
					O627.31 硼有机化合物、铝有机化合物
					O627.32 镓族元素有机化合物
					O627.33 钪族元素有机化合物
				O627.4 第Ⅳ族元素有机化合物
					O627.41 硅有机化合物
					O627.42 锗族元素有机化合物
					O627.43 钛族元素有机化合物
				O627.5 第Ⅴ族元素有机化合物（氮除外）
					O627.51 磷有机化合物
					O627.52 砷族元素有机化合物
					O627.53 钒族元素有机化合物
				O627.6 第Ⅵ族元素有机化合物（氧和硫除外）
				O627.7 第Ⅶ族元素有机化合物（卤素除外）
				O627.8 第Ⅷ族元素有机化合物
			O628 含同位素化合物
				O628.1 含周期系统第Ⅰ族元素同位素的化合物
				O628.2 含第Ⅳ族元素同位素化合物
				O628.3 含第Ⅴ族元素同位素化合物
				O628.4 含第Ⅵ族元素同位素化合物
				O628.5 含第Ⅶ族元素同位素化合物
			O629 天然化合物
				O629.1 碳水化合物、糖
					O629.11 单糖及其衍生物
					O629.12 多糖
					O629.13 糖苷
				O629.2 类固醇（甾族化合物）
					O629.21 固醇（甾醇）
					O629.22 胆酸
					O629.23 甾体激素及类似化合物
					O629.24 甾体类皂角配基
					O629.25 配基（强心性配剂）
					O629.29 其他甾族化合物
				O629.3 生物碱
					O629.31 氮伍环衍生物
					O629.32 氮杂苯衍生物
					O629.33 氮杂萘衍生物
					O629.34 氮杂蒽衍生物
					O629.35 异氮杂萘衍生物
					O629.36 氮杂茚衍生物
					O629.37 间二氮茂和苯骈间二氮茂衍生物
					O629.38 无环生物碱
					O629.39 未定结构生物碱
				O629.4 维生素、类胡萝卜素
				O629.5 天然抗生素
				O629.6 芳香油化学
				O629.7 α-氨基酸、肽类、蛋白质、核酸
					O629.71 α-氨基酸及其衍生物
					O629.72 肽类
					O629.73 蛋白质
					O629.74 核酸
				O629.8 酶、激素
				O629.9 其他天然化合物
		O63 高分子化学（高聚物）
			O63-0 高分子化学（高聚物）理论
				O63-01 高分子化合物命名法
			O631 高分子物理和高分子物理化学
				O631.1 高聚物结构理论
				O631.2 高聚物的物理性质
				O631.3 高聚物的化学性质
				O631.4 高聚物溶液
				O631.5 聚合反应、缩聚反应
				O631.6 高聚物分析和鉴定
			O632 碳链聚合物
				O632.1 不饱和烃聚合物
					O632.12 烯烃聚合物
					O632.13 芳基乙烯聚合物
					O632.14 二烯烃聚合物
					O632.15 环二烯烃聚合物
					O632.16 含三个以上的双键烃聚合物
					O632.17 炔烃聚合物
					O632.18 同时含双键和三键的聚合物
					O632.19 杂环化合物的乙烯衍生物聚合物
				O632.2 不饱和烃卤素衍生物的聚合物
					O632.21 卤代烯烃聚合物
					O632.23 卤代芳基乙烯聚合物
					O632.24 卤代二烯衍生物的聚合物
				O632.3 不饱合醇及其衍生物的聚合物
					O632.31 不饱和醇的聚合物
					O632.32 醚类的聚合物
					O632.33 不饱和醇的酯类聚合物
					O632.34 缩醛的聚合物
				O632.4 不饱合醛和酮及其衍生物的聚合物
				O632.5 不饱和酸及其衍生物的聚合物
					O632.51 不饱和酸的聚合物
					O632.52 不饱和酸的酯类聚合物
				O632.6 含氮化合物的聚合物
					O632.61 不饱和烃硝基衍生物的聚合物
					O632.62 腈的聚合物
					O632.63 不饱和胺的聚合物
				O632.7 链上含芳香和氢化芳香环的碳链聚合物
			O633 杂链聚合物
				O633.1 链上含氧的聚合物
					O633.11 氧化乙烯聚合物（聚环氧乙烷）
					O633.12 醛的聚合物
					O633.13 环氧树脂
					O633.14 聚酯
				O633.2 链上含氮的聚合物
					O633.21 聚胺
					O633.22 聚酰胺
				O633.3 链上含硫的聚合物
				O633.4 链上含两个或多异原子的聚合物
				O633.5 杂环链聚合物（链上含有杂环的聚合物）
			O634 元素有机聚合物
				O634.3 第Ⅲ族元素有机聚合物
				O634.4 第Ⅳ族元素有机聚合物
				O634.5 第Ⅴ族元素有机聚合物
			O635 无机高分子化合物（高聚物）
				O635.1 碳链无机聚合物
				O635.2 杂链无机聚合物
			O636 天然高分子化合物（高聚物）
				O636.1 高分子多聚糖
				O636.2 木质素
				O636.9 其他天然高分子化合物
		O64 物理化学（理论化学）、化学物理学
			O641 结构化学
				O641-3 结构化学研究方法
					O641-33 化学显微术
				O641.1 化学键理论
					O641.12 化学键的量子力学理论
					O641.13 化学键物理学
				O641.2 化学键的种类
				O641.3 分子间的相互作用、超分子化学
				O641.4 络合物化学（配位化学）
				O641.6 立体化学
			O642 化学热力学、热化学、热力学平衡
				O642.1 化学热力学（反应热力学）
				O642.2 化学亲合力
				O642.3 热化学
				O642.4 热力学平衡
				O642.5 体系的物理化学分析
			O643 化学动力学、催化作用
				O643.1 化学动力学
					O643.11 化学反应速度的理论
					O643.12 化学反应的机理和动力学
					O643.13 单相反应与多相反应
					O643.14 同位素交换反应
					O643.15 高压和超高压反应
					O643.16 放电反应
					O643.17 周期性反应
					O643.19 其他反应
				O643.2 燃烧、爆炸和爆破
				O643.3 催化
					O643.31 催化原理
					O643.32 催化反应
					O643.36 催化剂
					O643.37 负催化作用、负催化剂
					O643.38 加氢、脱氢的催化
				O643.4 高压化学
				O643.5 高温化学
				O643.6 低温化学、深度冷冻化学
			O644 光化学、辐射化学、超声波作用的化学过程
				O644.1 光化学
					O644.11 光化学反应原理
					O644.12 光化学反应动力学
					O644.13 气相光化学反应
					O644.14 液相光化学反应、溶液光化学反应
					O644.15 固相光化学反应
					O644.16 感光化学
					O644.17 由萤光发生的光化学反应、化学冷光
					O644.18 激光化学
					O644.19 有机物和无机物的各种光化学反应
				O644.2 辐射化学
					O644.21 在气体系统中的反应
					O644.22 在液体系统中的反应
					O644.23 在固体系统中的反应
					O644.29 其他辐射化学反应
				O644.3 超声化学
			O645 溶液
				O645.1 液态溶液
					O645.11 溶液理论
					O645.12 溶解度
					O645.13 溶液中离子溶剂化作用、离子溶剂化热与自由能
					O645.14 扩散与渗透作用、溶液的渗透压力
					O645.15 冰点、沸点
					O645.16 溶液性质
					O645.17 电解质溶液
					O645.18 非电解质溶液
				O645.2 固体溶液
				O645.3 气态溶液（气体的混合体）
				O645.4 熔盐
				O645.5 熔盐和溶液中的结晶作用
			O646 电化学、电解、磁化学
				O646.1 电解质溶液理论
				O646.2 电化学平衡
					O646.21 可逆电池（化学电池）
					O646.22 电极电势
					O646.23 电动势与热力学函数的关系
				O646.5 电解与电极作用
					O646.51 电解（电解学）
					O646.54 电极过程
						O646.541 阴极过程
						O646.542 阳极过程
				O646.6 金属的溶解和腐蚀的电化学理论
				O646.7 气体电化学（放电反应）
				O646.8 磁化学
				O646.9 等离子体化学
			O647 表面现象的物理化学
				O647.1 表面现象的理论
					O647.11 表面化学（界面化学）
				O647.2 表面活性物质的化学
				O647.3 吸附
					O647.31 吸附理论
					O647.32 化学吸附、物理吸附、等温吸附
					O647.33 吸附剂
				O647.4 粘附
				O647.5 湿润现象
				O647.6 毛细现象
				O647.9 其他表面现象
			O648 胶体化学（分散体系的物理化学）
				O648.1 胶体
					O648.11 胶体结构
					O648.12 胶体性质
					O648.13 胶体研究方法
					O648.14 胶体稳定性
					O648.15 特殊胶体系统
					O648.16 胶体溶液、溶胶
					O648.17 凝胶及软胶
					O648.18 气溶胶（烟、雾）
				O648.2 粗分散体系
				O648.3 胶体系统陈化、传动凝结作用
			O649 半导体化学
				O649.1 半导体晶体结构
				O649.2 半导体表面化学
				O649.3 半导体分析化学
				O649.4 半导体物理化学、化学物理
				O649.5 有机半导体化学
		O65 分析化学
			O651 分析化学基础理论
			O652 分析作业方法与技术
				O652.1 分析实验
				O652.2 化学仪器
				O652.3 试剂、反应
				O652.4 试样、分解
				O652.6 富集方法、分离方法
					O652.61 沉淀法
					O652.62 溶剂萃取法
					O652.63 柱液相色谱法
				O652.7 其他方法
				O652.9 分析自动化
			O653 无机分析
			O654 定性分析(定性分析学)
				O654.1 半微量及微量定性分析、显微结晶分析
				O654.2 湿法分析
				O654.3 干法分析
				O654.9 其他方法
			O655 定量分析(定量分析学)
				O655.1 重量分析
				O655.2 容量分析(滴定分析法)
					O655.21 微量容量分析
					O655.22 中和法
					O655.23 氧化还原滴定法
					O655.24 沉淀法
					O655.25 络合物形成法
					O655.26 非水溶液滴定法
					O655.29 其他方法
				O655.4 结构分析
				O655.5 价态分析
				O655.6 状态分析
				O655.9 其他分析
			O656 有机分析
				O656.2 有机定性分析
					O656.21 半微量、微量、超微量及痕量有机定性分析
					O656.22 化合物分析
					O656.23 元素有机定性分析
					O656.24 功能团分析
					O656.25 有机点滴分析
				O656.3 有机定量分析
					O656.31 半微量、微量、超微量及痕量有机定量分析
					O656.32 元素有机定量分析
					O656.33 有机重量分析
					O656.34 有机容量分析
					O656.35 功能团的测定
				O656.4 结构分析
				O656.5 价态分析
				O656.6 状态分析
				O656.9 其他分析
			O657 仪器分析法（物理及物理化学分析法）
				O657.1 电化学分析法
					O657.11 电导分析法
					O657.12 库仑分析（电量分析法）
					O657.13 电解分析法
					O657.14 极谱分析
					O657.15 电势分析法和离子选择性电极分析法
				O657.2 磁化学分析法
				O657.3 光化学分析法（光谱分析法）
					O657.31 原子发射光谱分析法
						O657.319 激光光源的光谱分析法
					O657.32 可见和紫外分光光度法
					O657.33 红外光谱分析法
					O657.34 Ｘ射线荧光分析法
					O657.35 γ射线分析法
					O657.36 微波光谱分析法
					O657.37 拉曼光谱分析法
					O657.38 激光光谱分析法
					O657.39 其他光学法
				O657.4 放射化学分析法、活化分析
				O657.5 超声波分析法
				O657.61 波谱分析
				O657.62 能谱分析
				O657.63 质谱分析
				O657.7 色谱分析
				O657.8 毛细管分析、电毛细管分析
				O657.91 物理化学常数测定分析法
				O657.92 氢离子浓度指数（ＰＨ）的测定
				O657.99 其他物理及物理化学分析法
			O658 元素及化合物的分离方法
				O658.1 色层吸附分析（层析法）
				O658.2 萃取法
				O658.3 蒸馏法
				O658.4 汞电极分离法
				O658.5 渗碳法
				O658.6 物相分析
				O658.9 其他
			O659 气体分析
				O659.1 气体定性分析
					O659.11 微量气体定性分析
					O659.12 混合气体分析
				O659.2 气体定量分析
					O659.21 微量气体定量分析
				O659.3 气体物理及物理化学分析法
					O659.31 气体电化学分析法
					O659.32 气体光学分析法
					O659.33 气体量热分析、热导分析
					O659.34 气体光声分析
					O659.35 气体色层分析
					O659.36 空气分析、含毒气体分析
					O659.37 工业气体分析
		O661 液体分析、水分析
			O661.1 水分析
		O69 应用化学
	O7 晶体学
		O71 几何晶体学
			O711 晶体对称性
			O712 点阵和倒易点阵
			O713 晶体外形和晶体投影
		O72 X射线晶体学
			O721 晶体对Ｘ射线、电子和中子的衍射理论
			O722 衍射实验及数据处理
			O723 结构分析
		O73 晶体物理
			O731 晶体的物理性质
			O732 晶体的各向异性
			O733 晶体的力学性质
			O734 晶体的光学性质
			O735 晶体的声学性质
			O736 晶体的热学性质
			O737 晶体的磁学性质
			O738 晶体的电学性质
			O739 晶体物理实验
		O74 晶体化学
			O741 晶体结构数据（结构报告）
			O742 晶体化学的规律性
			O743 系统晶体化学
		O75 非晶态和类晶态
			O751 非晶态
			O752 丝缕结构
			O753 类晶态
			O754 无定形态和琉璃态
			O756 非晶态和类晶态材料的应用
		O76 晶体结构
			O761 复相在晶体中的分布
			O762 孪生晶体
			O763 晶粒间界
			O764 粒度分布
			O765 晶体中的应力
			O766 观察、分析晶体结构的实验方法
		O77 晶体缺陷
		O78 晶体生长
			O781 晶体生长理论
			O782 晶体生长工艺
			O783 再结晶
			O784 晶须
			O785 单晶体的检验
			O786 晶体加工
			O787 区域提纯（区熔提纯）
		O79 晶体物理化学过程
			O791 扩散
			O792 相变
			O793 表面现象和表面性能
			O794 玻璃的晶化
			O795 晶化过程的热力学与动力学
			O799 应用晶体学
P 天文学、地球科学
	P1 天文学
		P1-0 理论与方法论
			P1-09 天文学史
				P1-091 世界
					P1-091.2 古代
					P1-091.3 中世纪
					P1-091.4 近代
					P1-091.5 现代
				P1-092 中国
		P1-2 机构、团体、会议
			P1-28 天文馆
		P1-4 教育与普及
			P1-49 普及读物
		P11 天文观测设备与观测资料
			P111 天文仪器
				P111.1 古代仪器
				P111.2 天文光学望远镜
					P111.21 反射望远镜
					P111.22 折射望远镜
					P111.23 折反射望远镜
				P111.3 天体观测仪器
					P111.31 中天测量仪器
					P111.32 非中天观测仪器
					P111.33 辅助仪器
				P111.4 天体物理仪器
					P111.41 太阳观测仪器
					P111.42 恒星摄谱仪、星云摄谱仪
					P111.43 电视望远镜
					P111.44 射电望远镜（无线电望远镜）
					P111.45 光度计
					P111.46 测热计
					P111.47 干涉仪
					P111.48 偏振仪
					P111.49 固体探测器
				P111.5 人造天体观测仪器
				P111.6 天象仪
			P112 天文台（观象台）
			P113 天文观测报告
			P114 天文图表
				P114.1 天体光谱图
				P114.2 天体谱线波长表
				P114.3 太阳系图表
				P114.4 恒星与星系图表
				P114.5 天文计算用表
					P114.51 岁差表
					P114.52 轨道计算用表
					P114.53 食变星根数计算用表
					P114.54 天体测量计算用表
					P114.55 天体物理计算用表
					P114.56 恒星天文计算用表
					P114.57 天文计算列线图（诺谟图）
					P114.58 行星位置表
		P12 天体测量学
			P121 球面天文学
			P122 误差和订正
			P123 照相天体测量学
				P123.1 天体照相
				P123.2 底片上直角坐标的测量
				P123.3 归算方法及计算用表
				P123.4 应用
					P123.41 自行的测量
					P123.42 视差的测量
					P123.43 目视双星轨道的测定
					P123.44 流星的照相观测
					P123.45 特殊问题的测定
					P123.46 人造卫星的定位观测
			P124 子午天体测量学（基本天体测量学）
			P125 交食、凌掩
				P125.1 日、月食理论及日、月食典
					P125.11 日食
					P125.12 月食
					P125.13 卫星的食和凌
				P125.2 行星凌日
				P125.3 月掩星
				P125.4 行星掩星
				P125.5 彗星掩星和凌日
				P125.8 食、掩、凌的预报和计算
			P126 天文基本常数的测定
				P126.1 天文单位
				P126.2 大气折射
				P126.3 光行差
				P126.4 视差
				P126.5 岁差和章动
				P126.8 自行
			P127 授时、经纬度的变化
				P127.1 授时
				P127.2 纬度变化
				P127.3 经度变化
				P127.4 方位角变化
			P128 实用天文学
				P128.1 天文大地测量学
					P128.11 纬度测量
					P128.12 经度测量
					P128.13 方位角测量
					P128.14 日食、月球定位及月掩星在大地测量中的应用
					P128.15 人造卫星在大地测量中的应用
			P129 现代天体测量学
		P13 天体力学（理论天文学）
			P131 天体引力理论
			P132 n体问题
			P133 摄动理论
			P134 太阳系内各天体的运动理论
				P134.1 大行星运动理论
				P134.2 小行星运动理论
				P134.3 卫星运动理论
				P134.4 彗星、流星的运动理论
			P135 轨道计算
			P136 天体力学定性理论
			P137 天体运动和平衡问题
				P137.1 天体形状理论和流体自转平衡
				P137.2 岁差和章动理论
			P138 天体力学方法
			P139 现代天体力学
		P14 天体物理学
			P141 实测天体物理学
				P141.1 天体照相学
				P141.2 天体光度学（天体测光学）
				P141.3 天体色度学
				P141.4 天体偏振测量
				P141.5 天体光谱学（天体分光学）
				P141.6 天体分光光度学
				P141.8 中微子天文学
				P141.91 红外天文学
				P141.93 记述天文学
			P142 理论天体物理学
				P142.1 辐射转移理论
				P142.2 吸收线理论、连续吸收理论
				P142.3 发射线理论
				P142.4 恒星大气结构理论
				P142.5 恒星内部结构和能量来源
				P142.6 天体的爆发和不稳定过程理论
				P142.7 宇宙电动力学
				P142.8 非热致辐射
				P142.9 其他
			P144 恒星物理学
				P144.1 恒星光谱分类、光谱型、光度型
				P144.2 表面温度、有效温度
				P144.3 颜色、色指数
				P144.4 大小、质量、密度
				P144.5 视向速度
				P144.6 星等、距离、视差（用物理方法得出的）
				P144.7 自转、磁场
				P144.9 分光双星和交食双星
			P148 天体化学
			P149 天体生物学
		P15 恒星天文学、星系天文学、宇宙学
			P151 星座
			P152 恒星天文学、星系天文学
				P152.1 恒星统计理论
				P152.2 恒星的空间分布
				P152.3 恒星的运动
				P152.4 恒星动力学、星系动力学
			P153 双星和聚星
			P154 星团、星协、恒星云
				P154.1 星团
				P154.2 星协
				P154.3 恒星云
			P155 银河星云与星际物质
				P155.1 银河星云
				P155.2 星际物质
			P156 银河系
				P156.1 银道坐标
				P156.2 银心位置和银河系大小的测定
				P156.3 星族、次系、子系
				P156.4 自转、质量
				P156.5 银河系的结构
			P157 河外星系
				P157.1 形态、分类
				P157.2 光谱、谱线红移
				P157.3 距离
				P157.4 亮度分布、累积星
				P157.5 自转、质量、大小
				P157.6 星系核的活动（包括爆发）
				P157.7 射电星系、特殊星系
				P157.8 星系团
				P157.9 星系的起源和演化
			P158 类星体、类星射电源
			P159 宇宙学
				P159.1 经典力学宇宙学
				P159.2 相对论的宇宙论
				P159.3 宇宙早期、宇宙起源和演化
				P159.4 观测宇宙学
				P159.5 宇宙大尺度结构
		P16 射电天文学（无线电天文学）
			P161 射电天文观测
				P161.1 总强度测量
				P161.2 光度分布测量
				P161.3 偏振测量
				P161.4 频谱测量
				P161.5 人造天体的射电观测
			P162 射电辐射
				P162.1 太阳系射电
					P162.11 太阳射电
					P162.12 月球射电
					P162.13 行星射电
				P162.4 银河系射电
				P162.5 星系射电
			P163 射电辐射机制
			P164 干涉测量
			P165 雷达天文学（无线电定位天文学）
		P17 空间天文学
			P171 观测设备与观测方法
				P171.1 气球观测
				P171.2 探空火箭观测
				P171.3 人造卫星观测
				P171.4 星际观测站
				P171.5 定向设备
			P172 空间天体物理学
				P172.1 紫外线天文学
				P172.2 X射线天文学
				P172.3 γ射线天文学
				P172.4 宇宙线天文学
			P173 星际航行动力学
				P173.1 人造天体的轨道设计
				P173.2 人造天体的发射和降落理论
				P173.3 人造天体的运动理论
				P173.4 人造天体的天文导航
				P173.5 人造天体的轨道过渡
				P173.6 人造天体的自转理论
		P18 太阳系
			P181 太阳系的起源和演化
			P182 太阳物理学
				P182.1 太阳的物理参数
				P182.2 太阳观测
				P182.3 太阳光谱
				P182.4 太阳光球
				P182.5 太阳色球
				P182.6 日珥和日冕
				P182.7 太阳的磁场
				P182.8 太阳的内部结构
				P182.9 太阳活动
			P183 地球
				P183.2 地球的结构
				P183.3 地球的运动
				P183.4 地球的大气光学
				P183.5 天体与地球的关系
			P184 月球
				P184.1 月球的起源和演化
				P184.2 大小、质量、距离、视差
				P184.3 形状
				P184.4 运动
				P184.5 月球表面物理及观测方法
				P184.6 月面坐标及月面图
				P184.7 盈亏现象（月相）
				P184.8 月面状况
			P185 行星、卫星、彗星、流星、陨星
				P185.1 水星
					P185.11 观测
					P185.12 形状、距离、大小、质量、密度
					P185.13 公转、自转
					P185.14 亮度、光谱、偏振、温度
					P185.15 表面特征
					P185.16 大气
					P185.17 结构
					P185.18 卫星
				P185.2 金星
				P185.3 火星
				P185.4 木星
				P185.5 土星
				P185.6 天王星、海王星、冥王星
				P185.7 小行星
				P185.8 彗星、流星、陨星
					P185.81 彗星
					P185.82 流星、流星群
					P185.83 陨星
				P185.9 行星际物质、黄道光、对日照
		P19 时间、历法
			P192 计年法
			P193 季节、时令
			P194 历法
				P194.1 比较历法
				P194.2 公历（阳历）
				P194.3 古代历法
				P194.9 其他历法
			P195 历书
			P196 历书对照表
			P197 天文年历
				P197.1 中国天文历
				P197.2 各国天文历
				P197.3 航海历书
				P197.4 航空历书
				P197.5 星历表
	P2 测绘学
		P2-0 理论与方法
			P2-019 测绘法令
		P20 一般性问题
			P201 测绘标准
			P202 测量用表
			P203 测量观测记录
			P204 测量仪器与方法
			P205 测量业务与组织管理
			P207 测量误差与测量平差
			P208 测绘数据库与信息系统
			P209 电子计算机的应用
		P21 普通测量学、地形测量学
			P211 简易测绘法
			P212 罗盘仪及其他半仪器测量
			P213 经纬仪测量、平板仪测量
			P214 等外导线测量
			P215 距离测量
			P216 高程测量
			P217 地形测绘和地形图测绘
			P218 面积测量
		P22 大地测量学
			P221 平面控制测量
			P223 物理大地测量、重力测量与地球形状的测定
			P224 高程控制测量
				P224.1 水准测量
				P224.2 三角高程测量
				P224.3 电磁波测距高程测量
			P225 电磁波测距和基线测量
				P225.1 无线电测距
				P225.2 光电测距
				P225.3 微波测距
				P225.5 相位法测距
				P225.6 脉冲法测距
				P225.8 基线测量
			P226 椭球面大地测量（高等测量）
			P227 动态大地测量
				P227.9 惯性大地测量
			P228 卫星大地测量与空间大地测量
				P228.1 卫星定位
				P228.3 卫星测高
				P228.4 全球定位系统（GPS）
				P228.5 卫星激光测距（SLR）和激光测月（LLR）
				P228.6 射电干涉测量
				P228.9 其他
			P229 海洋测量学
				P229.1 海底地形测量
				P229.2 海洋大地测量
				P229.5 海洋工程测量
				P229.6 领海基线测量
		P23 摄影测量学与测绘遥感
			P231 航空摄影测量
				P231.1 像片判读（调绘）
				P231.2 摄影测量控制
				P231.3 模拟法测图
				P231.4 解析法测图
				P231.5 数字化测图
			P232 地面摄影测量
			P234 非地形摄影测量
				P234.1 近影摄影测量
				P234.2 水下摄影测量
				P234.3 X射线系统的应用
				P234.4 扫描电子系统的应用
			P235 全息摄影测量与动态摄影测量
				P235.1 全息摄影测量
				P235.2 动态摄影测量
			P236 卫星摄影测量与空间摄影测量
			P237 测绘遥感技术
		P24 测绘仪器
		P25 专业测绘
		P27 地籍学
			P271 地籍测量
			P272 地籍调查
			P273 地籍管理
		P28 地图制图学（地图学）
			P281 地名学
			P282 数学制图学（地图的数学基础）
				P282.1 地图投影
				P282.2 坐标变换及其换带
				P282.3 地图定向
				P282.4 制图用表
			P283 地图编制
				P283.1 地图设计、原图编绘
				P283.2 原图清绘和整饰
				P283.3 平面图绘制
				P283.4 立体图绘制
					P283.49 影像地图编制
				P283.5 地图更新
				P283.7 制图自动化
				P283.8 遥感制图
			P284 地形图编制
				P284.2 海底地形图编制
				P284.9 其他地形图编制
			P285 专门地图编制
				P285.1 自然地理图的编制
				P285.2 社会经济地图编制
				P285.3 交通用图编制
				P285.4 教学图编制
				P285.7 海洋专题图编制
				P285.9 其他地图编制
			P286 制图仪器与设备
			P287 地图模型、地球仪
			P288 地图制印与复制
			P289 地图读法与应用
	P3 地球物理学
		P31 大地（岩石界）物理学（固体地球物理学）
			P311 地球起源及演化
				P311.2 大陆起源及演化
				P311.4 大气起源及演化
				P311.9 其他
			P312 重力学与地球形状学
				P312.1 地球的重力场
				P312.2 地球形状学
				P312.3 地壳均衡说
				P312.4 地球的体潮、重力的时间变化
				P312.9 其他
			P313 大地构造物理学、岩组学（构造岩石学）
				P313.2 地壳构造
				P313.3 地壳成分、物理性质、物理状态
			P314 地热学
				P314.1 温泉学
				P314.2 地球的内部热
				P314.3 地热测量
				P314.9 其他
			P315 地震学
				P315.0 理论与方法
					P315.01 数理地震学
					P315.02 物理地震学
					P315.08 统计地震学
					P315.09 其他
				P315.1 地震成因
				P315.2 地震与地球构造
				P315.3 地震波、地震震级、震源物理
				P315.4 地球的震动与脉动
				P315.5 地震活动性、地震区域划分
				P315.6 测震学
					P315.61 地震观测技术与方法
					P315.62 地震观测仪器与设备
					P315.63 地震观测结果的解释与处理
					P315.69 计算机应用
				P315.7 地震观测预报
					P315.71 震情
					P315.72 地震前兆与地震机理
					P315.73 地震观测
					P315.75 地震预报
					P315.78 地震台、站
				P315.8 实验地震学、地震模拟试验
				P315.9 工程地震
			P316 地震调查、地震志
			P317 火山学
				P317.1 火山热能
				P317.2 火山构造
				P317.3 火山喷发及其喷出物
				P317.4 晚期活动
				P317.5 火山分布、火山志
				P317.6 火山观测
				P317.7 火山喷发前的预报
				P317.9 火山灾害及其防护
			P318 地磁学
				P318.1 地球基本磁场
				P318.2 地球变化磁场
				P318.3 行星际空间的磁场
				P318.4 岩石磁性及古地磁学
				P318.5 地震地磁学
				P318.6 地磁观测及仪器
			P319 地电学
				P319.1 地球电场
				P319.2 地壳与岩石的电传导及介电性质
				P319.3 地电观测及仪器
				P319.6 古地电学
